"","Peak_E_over_Flu","t90","Classification."
"1",7.31611233053324,1.70764680953905,1
"2",6.03115454116838,0.939569168655902,1
"3",5.33755289006862,2.03046208587721,1
"4",6.32849665279202,1.68928221447305,1
"5",6.6084825714345,2.15759576847751,1
"6",5.5251592670428,2.140640008285,1
"7",7.88125101340133,1.35762997195676,1
"8",5.74444059916569,2.0507122142452,1
"9",8.11833862488686,0.730459260045769,2
"10",8.72054010790674,-1.09691001300806,2
"11",9.46826095525403,-0.415668775632469,2
"790",8.61404993671482,-0.0177287669604316,2
"1375",8.12243117320316,1.49546107822768,1
